City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Yar-Sale,RU,2022-12-01 00:58:10,66.8333,70.8333,249.57,100,8,2.16
162,Puerto Del Rosario,ES,2022-12-01 00:58:10,28.5004,-13.8627,291.01,72,40,3.09
163,Baoro,CF,2022-12-01 00:58:11,5.6667,15.9667,292.41,44,100,1.22
164,Mehamn,NO,2022-12-01 00:56:42,71.0357,27.8492,273.12,86,100,3.6
165,Port Hedland,AU,2022-12-01 00:58:11,-20.3167,118.5667,306.18,49,8,4.12
166,Provideniya,RU,2022-12-01 00:58:12,64.3833,-173.3,272.24,74,0,1.0
167,Tarakan,ID,2022-12-01 00:58:12,3.3,117.6333,299.75,81,100,1.86
168,Praia,CV,2022-12-01 00:58:13,14.9215,-23.5087,296.67,66,100,5.4
169,Guilin,CN,2022-12-01 00:55:58,25.2819,110.2864,276.21,88,100,4.48
170,Lupsanu,RO,2022-12-01 00:58:14,44.3833,26.9,275.19,61,100,6.02
171,West Bay,KY,2022-12-01 00:58:14,19.3667,-81.4167,301.19,81,20,4.63
172,Shamsabad,IN,2022-12-01 00:58:14,27.0167,78.1333,287.63,58,0,1.33
173,Kavaratti,IN,2022-12-01 00:58:15,10.5669,72.642,300.69,71,100,1.51
174,Hithadhoo,MV,2022-12-01 00:58:15,-0.6,73.0833,300.29,69,60,3.02
175,Arraial Do Cabo,BR,2022-12-01 00:58:16,-22.9661,-42.0278,296.13,83,100,6.17
176,Kahului,US,2022-12-01 00:58:16,20.8947,-156.47,300.91,82,100,4.92
177,Sabang,ID,2022-12-01 00:58:17,5.8933,95.3214,300.06,73,100,0.96
178,Naifaru,MV,2022-12-01 00:58:17,5.4444,73.3657,300.3,69,34,0.95
179,Darhan,MN,2022-12-01 00:58:18,49.4867,105.9228,250.5,86,9,3.13
180,Kaseda,JP,2022-12-01 00:58:18,31.4167,130.3167,284.34,63,14,7.29
181,Ratnagiri,IN,2022-12-01 00:59:19,16.9833,73.3,295.11,45,86,2.84
182,Sazonovo,RU,2022-12-01 00:59:20,59.0919,35.2268,261.21,95,72,1.44
183,Cherskiy,RU,2022-12-01 00:59:20,68.75,161.3,260.35,95,100,2.8
184,Tiksi,RU,2022-12-01 00:59:20,71.6872,128.8694,248.71,99,100,6.65
185,Kaitangata,NZ,2022-12-01 00:59:21,-46.2817,169.8464,287.62,65,74,5.2
186,Great Bend,US,2022-12-01 00:59:21,38.3645,-98.7648,274.28,54,43,4.32
187,Turukhansk,RU,2022-12-01 00:59:22,65.8167,87.9833,258.56,94,100,6.28
188,Nome,US,2022-12-01 00:59:22,64.5011,-165.4064,271.19,80,20,9.77
189,Kathu,TH,2022-12-01 00:59:23,7.9178,98.3332,299.05,80,100,2.79
190,Ancud,CL,2022-12-01 00:59:24,-41.8697,-73.8203,281.05,73,6,2.25
191,Jiangyou,CN,2022-12-01 00:59:24,31.7667,104.7167,276.92,69,95,0.92
192,Imbituba,BR,2022-12-01 00:59:25,-28.24,-48.6703,296.4,95,100,9.93
193,The Pas,CA,2022-12-01 00:59:25,53.8251,-101.2541,252.16,71,100,2.57
194,Codrington,AU,2022-12-01 00:59:26,-38.2667,141.9667,289.66,70,90,5.19
195,Katsuura,JP,2022-12-01 00:59:26,35.1333,140.3,286.73,83,100,7.69
196,Baruun-Urt,MN,2022-12-01 00:56:23,46.6806,113.2792,250.7,77,1,5.52
197,Cobija,BO,2022-12-01 00:59:27,-11.0267,-68.7692,299.42,62,16,1.41
198,Yaan,NG,2022-12-01 00:59:27,7.3833,8.5667,296.16,28,90,1.1
199,Meulaboh,ID,2022-12-01 00:59:28,4.1363,96.1285,298.16,87,100,1.21
200,Jalu,LY,2022-12-01 00:55:33,29.0331,21.5482,286.43,44,0,2.13
201,Ahuimanu,US,2022-12-01 00:59:28,21.4447,-157.8378,301.92,72,67,1.79
202,Dakar,SN,2022-12-01 00:57:15,14.6937,-17.4441,300.22,54,0,5.14
203,Chokurdakh,RU,2022-12-01 00:55:30,70.6333,147.9167,254.85,96,100,4.11
204,Manado,ID,2022-12-01 00:59:30,1.487,124.8455,301.58,78,40,1.54
205,Campbellsville,US,2022-12-01 00:58:56,37.3434,-85.3419,275.9,45,0,2.68
206,Antalaha,MG,2022-12-01 00:59:31,-14.9003,50.2788,294.35,88,5,1.41
207,Solikamsk,RU,2022-12-01 00:59:31,59.6196,56.7729,261.07,98,91,0.95
